Part,Description,Quantity,Manufacturer,Part Number,Datasheet,Price (EGP),Total Price (EGP)
Arduino Uno,Arduino Uno Rev3,1,Arduino,A000066,https://store.arduino.cc/usa/documents/Arduino_Uno_Rev3_schematics.pdf,450.0,450
Buzzer,5Vdc PCB Mount Buzzer,2,,,,10.0,20
Resistor,"220 Ohm, 0.25W",10,,,,0.2,2
Arduino Cable,Arduino USB Cable,1,,,,50.0,50
Jumper Wires,Male-to-Male,20,,,,9.0,18
BreadBoard,140 pcs breadboard,1,,,,50.0,50
Lm35,Temperature Sensor,2,,,,85.0,170
LCD,1602 LCD Board Keypad Shield Blue,1,,,,145.0,145
I2C LCD,1602 Serial Character LCD,1,,,,140.0,140
H Bridge,L298N Dual H Bridge Driver Module,1,,,,155.0,155
Batteries,Rechargeable 18650 Li-ion Battery 1500~1800 mAh,2,,,,75.0,150
Battery Holder,18650 Battery Holder 2 Cells,1,,,,15.0,15
DC Motor,Micro wind generator DC Motor,1,,,,255.0,255
Led,RED,1,,,,1.0,1
Motor,Servo Motor,1,,,,90.0,90
Memory,EEPROM IC 512k,1,,,,90.0,90
PIR Sensor,HC-SR501 Passive Infrared Motion Sensor Module,1,,,,35.0,35
USB Webcam,USB Webcam for Computer Vision (person detection),1,,,,350.0,350
Microphone,USB Microphone for Voice Control,1,,,,200.0,200
,,,,,,TOTAL,2386
