Part,Description,Quantity,Manufacturer,Part Number,Datasheet,Price (EGP),Total Price (EGP)
Microcontroller,ATmega328P-PU with bootloader,1,Arduino,A000066,https://store.arduino.cc/usa/documents/Arduino_Uno_Rev3_schematics.pdf,85,85
Crystal Oscillator,16MHz Crystal,1,,,,3,3
Custom PCB,Custom Printed Circuit Board (Small),1,,,,30,30
Buzzer,5Vdc PCB Mount Buzzer,1,,,,10,10
Resistor,"220 Ohm, 0.25W",10,,,,0.2,2
Jumper Wires,Male-to-Male,5,,,,0.9,4.5
Lm35,TemperatureSensor,2,,,,85,170
LCD,1602 LCD Board Keypad Shield Blue,1,,,,145,145
I2C LCD, 1602 Serial Character LCD,1,,,,140,140
H Bridge,L298N Dual H Bridge Driver Module,1,,,,155,155
Batteries,Rechargeable 18650 Li-ion Battery – 1500~1800 mAh,2,,,,75,150
 Battery Holder,18650 Battery Holder 2 Cells,1,,,,15,15
DC Motor,Micro wind generator Dc Motor,1,,,,255,255
Led,RED,1,,,,1,1
Motor,Servo Motor,1,,,,90,90
Memory,EEPROM IC 512k,1,,,,90,90
,,,,,,Total,1345.5
